"cntrID","org_cntr_num","org_1s_sev","org_1s_sup_sev","sup_cntr_num","sup_cntr_avg_price","sup_cntr_avg_penalty","sup_no_pnl_share","sup_okpd_exp","sup_1s_sev","sup_1s_org_sev","sup_sim_price","supType","orgForm","price_higher_pmp","price_too_low","price","pmp","okpd","cntr_result"
1385832,1017,0,0,3,466666,0,1,1,0,0,0.33333,2,8,0,0,700000.00,0.00,"0",0
1386276,172,0,0,1,131000,0,1,1,0,0,1,3,13,0,0,131000.00,0.00,"0",0
1387491,82,0,0,1,16875000,0,1,1,0,0,1,3,19,0,0,16875000.00,0.00,"0",0
1387780,194,0.00515,0,1,340000,0,1,1,0,0,1,3,13,0,0,340000.00,0.00,"0",0
1387804,194,0.00515,0,1,1386000,0,1,1,0,0,1,3,13,0,0,1386000.00,0.00,"0",0
1387841,194,0.00515,0,1,126000000,0,1,1,0,0,1,3,19,0,0,126000000.00,0.00,"0",0
1391398,716,0.00279,0,1,1259243,0,1,1,0,0,1,3,0,0,0,1259243.90,0.00,"0",0
1392415,716,0.00279,0,2,2339422,0,1,1,0,1,0.5,3,0,0,0,962572.68,0.00,"0",0
1392419,716,0.00279,0,1,1619085,0,1,1,0,0,1,1,0,0,0,1619085.19,0.00,"0",0
1392433,716,0.00279,0,2,2339422,0,1,1,0,1,0.5,3,0,0,0,3716273.30,0.00,"0",0
1392437,716,0.00279,0,2,700746,0,1,1,0,0,0.5,3,0,0,0,881790.09,0.00,"0",0
1392438,716,0.00279,0,2,700746,0,1,1,0,0,0.5,3,0,0,0,519702.45,0.00,"0",0
1392789,716,0.00279,0,1,749370,0,1,1,0,0,1,1,0,0,0,749370.20,0.00,"0",0
1394589,131,0,0,1,411000,0,1,1,0,0,1,3,13,0,0,411000.00,499000.00,"0",0
1394998,716,0.00279,0,1,130000,0,1,1,0,0,1,3,0,0,0,130000.00,0.00,"0",0
1395069,49,0,0,3,419114,0,1,1,0,0,0.33333,3,13,0,0,331195.00,0.00,"0",0
1396184,93,0,0,1,253800,0,1,1,0,0,1,3,0,0,0,253800.00,0.00,"0",0
1396230,319,0,0.00313,1,179498542,0,1,1,0,0,1,3,13,0,0,179498542.08,198965360.00,"0",0
1396647,92,0,0,3,80000,0,1,1,0,0,0.66667,1,0,0,0,60000.00,60000.00,"0",0
1396900,92,0,0,3,80000,0,1,1,0,0,0.66667,1,0,0,0,60000.00,60000.00,"0",0
1397900,716,0.00279,0,1,138475,0,1,1,0,0,1,3,13,0,0,138475.00,152094.60,"0",0
1399886,5428,0,0,90,184197,0,1,1,0,0,0.12222,3,13,0,0,30888.00,32484.00,"0",0
1400355,753,0.00133,0,8,426665,0,1,1,0,0,0.75,3,19,0,0,495000.00,500000.00,"0",0
1400371,753,0.00133,0,1,88000,0,1,1,0,0,1,3,13,0,0,88000.00,95000.00,"0",0
1400500,753,0.00133,0,1,244000,0,1,1,0,0,1,3,13,0,0,244000.00,250000.00,"0",0
1400762,303,0.0033,0,7,4031490,0,1,1,0,0.14286,0.14286,3,13,0,0,20137715.00,20238910.00,"0",0
1402056,60,0,0,69,1027251,0,1,1,0,0,0.02899,3,13,0,0,2103351.64,2113921.25,"0",0
1402475,163,0.00613,0,3,1918742,0,1,1,0,0,0.33333,3,1,0,0,4860000.00,5577034.00,"0",0
1403218,135,0,0,29,176635,0,1,1,0,0,0.17241,3,13,0,1,49431.80,101007.22,"0",0
1403222,49,0,0,26,174444,0,1,1,0,0,0.30769,3,8,0,0,198276.30,293750.00,"0",0
1405164,6408,0,0,94,104787,0,1,1,0,0,0.07447,3,31,0,0,249999.00,249999.00,"0",0
1405485,5428,0,0,42,162352,0,1,1,0,0,0.19048,3,13,0,0,219195.00,245235.00,"0",0
1406059,56,0,0,1,96285684,0,1,1,0,0,1,3,13,0,0,96285684.00,110673200.00,"0",0
1406630,753,0.00133,0,8,426665,0,1,1,0,0,0.125,3,19,0,0,298000.00,300000.00,"0",0
1406842,5428,0,0,42,162352,0,1,1,0,0,0.02381,3,13,0,0,406972.50,417873.23,"0",0
1407503,630,0.00317,0,9,187196,0,1,1,0,0,0.33333,3,13,0,0,185000.00,230105.00,"0",0
1407864,59,0,0,3,805725,0,1,1,0,0,0.33333,1,0,0,1,69000.00,120698.26,"0",0
1408000,630,0.00317,0,1,584155674,0,1,1,0,0,1,3,19,0,0,584155674.00,596077220.00,"0",0
1408851,15,0,0,1,167148730,0,1,1,0,0,1,3,13,0,0,167148730.00,167148730.00,"0",0
1408905,320,0,0,7,188013,0,1,1,0,0,0.28571,3,13,0,0,275660.98,433902.07,"0",0
1409523,770,0,0,8,757098,0,1,1,0,0,0.25,3,13,0,0,1492500.00,1500000.00,"0",0
1410049,753,0.00133,0,5,264730,0,1,1,0,0,0.4,3,13,0,1,200000.00,500000.00,"0",0
1410236,753,0.00133,0,19,341217,0,1,1,0,0,0.10526,3,13,0,0,981100.00,1260000.00,"0",0
