,cntrID,org_cntr_num,org_1s_sev,org_1s_sup_sev,sup_cntr_num,sup_cntr_avg_price,sup_cntr_avg_penalty,sup_no_pnl_share,sup_okpd_exp,sup_1s_sev,sup_1s_org_sev,sup_sim_price,sup_type,sup_status,org_form,org_type,price_higher_pmp,price_too_low,price,pmp,okpd,type_prod,cntr_lvl,sign_date,exec_date,cntr_result
0,1505399,141,0.0,0.0,1,262800,0.0,1.0,1.0,0,0.0,1.0,3,-1,45,2,0,0,262800.0,265230.9,0,-1,1,20150101,20151231,1
1,1505542,164,0.0,0.0,2,336037,0.0,1.0,1.0,0,0.0,0.5,3,-1,45,2,0,0,433100.0,714000.0,0,-1,1,20150112,20151231,1
2,1505554,581,0.0,0.0,2,198450,0.0,1.0,1.0,0,0.0,0.5,3,-1,57,2,0,0,152100.0,152100.0,0,-1,1,20150112,20150131,1
3,1505963,2157,0.0,0.0,4,269765,0.0,1.0,0.5,0,0.0,0.25,0,-1,84,1,0,0,50000.0,50000.0,0,-1,1,20150112,20150126,1
4,1505984,598,0.0,0.0,8,521224,0.0,1.0,1.0,0,0.0,0.125,0,-1,45,2,0,0,998007.17,1013361.0,0,-1,1,20150112,20151231,1
5,1505997,232,0.0043100000000000005,0.0,48,551676,0.0,1.0,1.0,0,0.0,0.1875,0,-1,45,1,0,0,215219.4,215220.0,0,-1,1,20150112,20150331,1
6,1505998,232,0.0043100000000000005,0.0,2,13904,0.0,1.0,1.0,0,0.0,1.0,0,-1,45,1,0,0,13068.0,13794.0,0,-1,1,20150113,20151231,1
7,1506405,2236,0.0,0.0,2,1274897,0.0,1.0,1.0,0,0.0,0.5,3,-1,49,5,0,0,390133.33,392000.0,0,-1,1,20150114,20151225,1
8,1506415,581,0.0,0.0,5,314583,0.0,1.0,0.8,0,0.0,0.6,0,-1,45,2,0,1,148790.93,783110.03,0,-1,1,20150112,20151231,1
9,1506417,581,0.0,0.0,1,200577,0.0,1.0,1.0,0,0.0,1.0,3,-1,45,2,0,0,200577.33,200577.33,0,-1,1,20150112,20151231,1
10,1506434,157,0.0,0.0,2,103022,0.0,1.0,1.0,0,0.0,0.5,0,-1,45,2,0,1,56640.0,259815.0,0,-1,1,20150114,20151231,1
11,1506451,278,0.0,0.0,1,107912,0.0,1.0,1.0,0,0.0,1.0,0,-1,45,2,0,0,107912.4,114290.59,0,-1,1,20150101,20151231,1
12,1506453,278,0.0,0.0,1,395364,0.0,1.0,1.0,0,0.0,1.0,3,-1,106,2,0,0,395364.0,431787.96,0,-1,1,20150112,20151231,1
13,1506454,172,0.0,0.0,1,2865000,0.0,1.0,1.0,0,0.0,1.0,3,-1,45,1,0,0,2865000.0,2865000.0,0,-1,1,20150108,20160108,1
14,1506455,172,0.0,0.0,3,1189386,0.0,1.0,1.0,0,0.0,0.33333,3,-1,45,1,0,0,1035058.7,1040260.0,0,-1,1,20150108,20160111,1
15,1506459,104,0.0,0.0,1,419715,0.0,1.0,1.0,0,0.0,1.0,3,-1,45,1,0,0,419715.0,647000.0,0,-1,1,20150114,20150228,1
16,1507015,278,0.00719,0.0,5,48950,0.0,1.0,1.0,0,0.0,0.2,0,-1,49,2,0,1,67155.0,121000.0,0,-1,1,20150114,20150930,1
