,cntrID,org_cntr_num,org_1s_sev,org_1s_sup_sev,sup_cntr_num,sup_cntr_avg_price,sup_cntr_avg_penalty,sup_no_pnl_share,sup_okpd_exp,sup_1s_sev,sup_1s_org_sev,sup_sim_price,sup_type,sup_status,org_form,org_type,price_higher_pmp,price_too_low,price,pmp,okpd,type_prod,cntr_lvl,sign_date,exec_date,cntr_result
1,1507036,278,0.0,0,10,2846997.0,0,1.0,1.0,0,0,0.0,3,-1,45,2,0,0,274565.2,408069.0,0,-1,1,20150113,20150612,1
2,1508792,496,0.0,0,57,171371.0,0,1.0,0.91228,0,0,0.0,3,-1,48,4,0,0,2697520.59,2697520.59,0,-1,1,20150123,20150331,1
3,1511347,1017,0.0,0,5,346973.0,0,0.4,0.4,0,0,0.0,0,-1,45,2,0,0,762174.0,762174.0,0,-1,1,20150212,20151231,1
5,1512363,1017,0.0,0,1,200400.0,0,1.0,1.0,0,0,0.0,0,-1,45,2,0,0,147000.0,147000.0,0,-1,1,20150224,20171231,1
8,1524747,528,0.00379,0,2,684600.0,0,1.0,1.0,0,0,0.0,3,-1,0,4,0,0,14500.0,14500.0,0,-1,1,20150706,20150930,1
10,1530084,140,0.0,0,1,62000.0,0,1.0,0.0,0,0,1.0,2,-1,8,1,0,0,70000.0,73750.0,493934000,12,1,20160304,20160421,1
11,1530596,588,0.0,0,7,282863.0,0,1.0,0.14286,0,0,0.14286,0,-1,0,4,0,0,414000.0,416400.0,192021121,7,1,20160211,20160331,1
12,1530596,588,0.0,0,7,282863.0,0,1.0,0.28570999999999996,0,0,0.14286,0,-1,0,4,0,0,414000.0,416400.0,192021323,7,1,20160211,20160331,1
14,1532617,92,0.0,0,31,257835.0,0,1.0,0.0,0,0,0.16129000000000002,3,-1,0,13,0,1,172903.0,419299.8,310912121,19,1,20160629,20160808,1
15,1532617,92,0.0,0,31,257835.0,0,1.0,0.032260000000000004,0,0,0.16129000000000002,3,-1,0,13,0,1,172903.0,419299.8,310912124,19,1,20160629,20160808,1
16,1532618,92,0.0,0,10,125535.0,0,1.0,0.0,0,0,0.1,0,-1,0,13,0,0,285367.88,388255.92,275115110,10,1,20160629,20160808,1
17,1532618,92,0.0,0,10,125535.0,0,1.0,0.0,0,0,0.1,0,-1,0,13,0,0,285367.88,388255.92,275124190,10,1,20160629,20160808,1
22,1533229,92,0.0,0,1,604293.0,0,1.0,0.0,0,0,0.0,0,-1,0,13,0,0,4320299.97,4320299.97,265143119,19,1,20160531,20160829,1
23,1534502,1017,0.0,0,1,550600.0,0,1.0,0.0,0,0,0.0,3,-1,13,2,0,1,20400.0,44000.0,661112190,14,1,20160114,20171231,1
28,1551885,278,0.0,0,7,1155737.0,0,1.0,0.0,0,0,0.14286,3,-1,0,2,0,0,337118.59,550012.5,531019000,19,1,20160112,20160831,1
29,1552616,143,0.0,0,3,899854.0,0,1.0,0.66667,0,0,0.33333,0,-1,0,2,0,0,2442015.0,2445000.0,801012000,19,1,20151231,20160630,1
30,1557965,143,0.0,0,1,310000.0,0,1.0,1.0,0,0,0.0,0,-1,0,2,0,0,620000.0,620000.0,493939000,12,1,20160229,20160630,1
31,1558616,278,0.0,0,1,79821.0,0,1.0,0.0,0,0,1.0,0,-1,0,2,0,0,81331.5,81331.5,381129000,19,1,20160229,20161231,1
32,1559174,528,0.00379,0,1,6355.0,0,1.0,0.0,0,0,0.0,2,-1,8,4,0,0,63550.0,63550.0,821913000,19,1,20160310,20161231,1
33,1559226,228,0.0,0,45,137695.0,0,1.0,0.17778,0,0,0.04444,0,-1,0,5,0,0,639345.0,639345.0,171214119,19,1,20160314,20160708,1
34,1561638,228,0.0,0,2,109718.0,0,1.0,0.0,0,0,0.5,0,-1,0,5,0,0,202042.3,203057.6,139229110,19,1,20160405,20160725,1
35,1561638,228,0.0,0,2,109718.0,0,1.0,0.0,0,0,0.5,0,-1,0,5,0,0,202042.3,203057.6,139229120,19,1,20160405,20160725,1
36,1561638,228,0.0,0,2,109718.0,0,1.0,0.0,0,0,0.5,0,-1,0,5,0,0,202042.3,203057.6,141230150,19,1,20160405,20160725,1
37,1561638,228,0.0,0,2,109718.0,0,1.0,0.0,0,0,0.5,0,-1,0,5,0,0,202042.3,203057.6,204131119,19,1,20160405,20160725,1
38,1561638,228,0.0,0,2,109718.0,0,1.0,0.0,0,0,0.5,0,-1,0,5,0,0,202042.3,203057.6,204131130,19,1,20160405,20160725,1
