,cntrID,org_cntr_num,org_1s_sev,org_1s_sup_sev,sup_cntr_num,sup_cntr_avg_price,sup_cntr_avg_penalty,sup_no_pnl_share,sup_okpd_exp,sup_1s_sev,sup_1s_org_sev,sup_sim_price,supType,orgForm,price_higher_pmp,price_too_low,price,pmp,okpd,cntr_result
1701,1489889,2643,0.0,0.0,3,221400.0,0.0,1.0,1.0,0,0.0,0.66667,3,0,0,1,249600.0,484210.0,0,0
3446,1410055,64,0.0,0.0,8,269412.0,0.0,1.0,1.0,0,0.0,0.5,3,13,0,0,379600.0,500000.0,0,1
3388,1394632,37,0.0,0.0,6,611850.0,0.0,1.0,1.0,0,0.0,0.16667,3,13,0,0,280000.0,280000.0,0,1
673,1461932,2697,0.0,0.0,69,158718.0,0.0,1.0,1.0,0,0.0,0.08696,3,13,0,0,144561.1,199395.0,0,0
4047,1547772,33,0.0,0.0,28,137404.0,0.0,1.0,0.60714,0,0.0,0.07143,2,8,0,0,28000.0,39421.44,0,0
5638,1592197,34,0.0,0.0,4,631300.0,0.0,1.0,0.25,0,0.0,0.25,0,13,0,0,1711200.0,1711200.0,559019000,0
5916,1406316,75,0.0,0.0,4,271237.0,0.0,1.0,1.0,0,0.0,0.25,3,13,0,0,300000.0,319282.0,0,1
486,1402611,49,0.0,0.0,566,481791.0,0.0,1.0,1.0,0,0.0,0.15018,3,7,0,0,361875.0,361875.0,0,1
5517,1587352,120,0.0,0.0,4,64756.0,0.0,1.0,0.25,0,0.0,0.25,0,65,0,0,137675.0,137675.0,750019000,0
2046,1498337,2256,0.0,0.0,286,82589.0,0.0,0.9825200000000001,0.9650299999999999,0,0.0,0.05944,3,0,0,0,10622.6,10895.0,0,0
1105,1416448,987,0.0,0.0,209,317740.0,0.0,1.0,1.0,0,0.0,0.13876,3,13,0,0,206860.0,249045.0,0,1
2193,1428421,60,0.0,0.0,99,141240.0,0.0,1.0,1.0,0,0.0,0.32323,1,0,0,0,139200.0,219256.0,0,1
949,1398617,42,0.0,0.0,116,83683.0,0.0,1.0,1.0,0,0.0,0.22414,3,13,0,0,64728.0,64800.0,0,1
811,1465642,561,0.0,0.0,123,103592.0,0.0,1.0,1.0,0,0.0,0.10569,3,13,0,0,91711.14,92172.0,0,0
5301,1439275,54,0.0,0.0,9,407104.0,0.0,1.0,1.0,0,0.0,0.33333,3,13,0,0,124400.0,159780.0,0,1
5523,1587929,101,0.0,0.0,2,320000.0,0.0,1.0,1.0,0,0.0,1.0,1,8,0,0,340000.0,469039.4,812912000,0
1768,1491380,69,0.0,0.0,1,107318.0,0.0,1.0,1.0,0,0.0,1.0,1,0,0,0,107318.41,155874.47,0,0
1814,1387787,74,0.0,0.0,3,175136.0,0.0,1.0,1.0,0,0.0,0.33333,3,13,0,0,281103.2,300000.0,0,1
2036,1421455,71,0.01408,0.0,255,196026.0,0.0,1.0,1.0,0,0.0,0.18824000000000002,1,0,0,0,324270.0,370383.9,0,1
5183,1397409,630,0.00317,0.0,2,79432.0,0.0,1.0,1.0,0,0.0,1.0,3,19,0,0,78664.0,78664.0,0,1
4395,1556664,572,0.0,0.0,17,132927.0,0.0,1.0,0.058820000000000004,0,0.0,0.17647000000000002,0,0,0,0,276487.04,341296.3,106132115,0
385,1452417,163,0.00613,0.0,9,354315.0,0.0,1.0,1.0,0,0.0,0.44443999999999995,3,0,0,0,397444.79,399442.0,0,0
3623,1392362,118,0.0,0.0,5,427129.0,0.0,1.0,1.0,0,0.0,0.2,3,13,0,0,151458.0,156142.21,0,1
1643,1488706,2697,0.0,0.0,78,486516.0,0.0,1.0,1.0,0,0.0,0.07692,1,0,0,0,96901.0,0.0,0,0
2232,1434064,77,0.0,0.0,99,141240.0,0.0,1.0,1.0,0,0.0,0.07071000000000001,1,0,0,0,273722.5,286947.0,0,1
417,1396345,56,0.0,0.0,566,481791.0,0.0,1.0,1.0,0,0.0,0.14841,3,7,0,0,117504.0,117504.0,0,1
2873,1455137,642,0.0,0.0,27,13850739.0,0.0,1.0,1.0,0,0.0,0.22221999999999997,3,13,0,0,2611856.39,2984978.74,0,1
856,1467368,648,0.0,0.0,10,295693.0,0.0,1.0,1.0,0,0.0,0.4,1,0,0,0,239680.0,281009.5,0,0
3677,1392474,44,0.0,0.0,10,11747978.0,0.0,1.0,1.0,0,0.0,0.2,3,19,0,0,1737000.0,1800000.0,0,1
5733,1594614,2,0.0,0.0,57,135849.0,0.0,1.0,0.01754,0,0.0,0.052629999999999996,3,13,0,0,510000.0,675782.74,101210110,0
4478,1394710,133,0.0,0.0,2,250000.0,0.0,1.0,1.0,0,0.0,0.5,3,34,0,0,380000.0,380000.0,0,1
5812,1599600,57,0.0,0.0,6,642667.0,0.0,1.0,0.16667,0,0.0,0.33333,3,13,0,0,1549637.6,2503019.58,439119110,0
3509,1536364,61,0.0,0.0,77,82366.0,0.0,0.98701,0.98701,0,0.0,0.11688,3,0,0,0,100713.6,0.0,0,0
4419,1402299,2643,0.0,0.0,22,107706.0,0.0,1.0,1.0,0,0.0,0.09091,3,9,0,0,10762.5,12300.0,0,1
3834,1542015,203,0.0,0.0,66,3859396.0,0.0,1.0,1.0,0,0.0,0.4697,3,0,0,0,2839200.0,0.0,0,0
4995,1567426,773,0.0,0.0,2,133369.0,0.0,1.0,0.5,0,0.0,0.5,0,0,0,0,70997.94,70997.94,222311000,0
914,1409367,752,0.0,0.0,116,83683.0,0.0,1.0,1.0,0,0.0,0.22414,3,13,0,0,64000.0,71916.67,0,1
3831,1431311,140,0.0,0.0,4,305873.0,0.0,1.0,1.0,0,0.0,0.25,3,13,0,1,618559.26,1162366.08,0,1
1139,1478771,1922,0.0,0.0,12,338574.0,0.0,1.0,0.58333,0,0.0,0.25,3,0,0,0,116900.0,117155.3,0,0
2957,1523550,54,0.0,0.0,6,181073.0,0.0,1.0,1.0,0,0.0,0.66667,0,0,0,0,176644.8,250560.0,0,0
4201,1552129,306,0.0,0.0,7,695025.0,0.0,1.0,0.28570999999999996,0,0.0,0.14286,0,0,0,0,1485813.6,1493280.0,801012000,0
3070,1425883,25,0.0,0.0,44,217089.0,0.0,1.0,1.0,0,0.0,0.06817999999999999,3,8,0,0,49020.0,60000.0,0,1
227,1395302,82,0.0,0.0,10,636593.0,0.0,1.0,1.0,0,0.0,0.1,3,3,0,0,500000.0,500000.0,0,1
3753,1540427,19,0.0,0.0,39,65796.0,0.0,1.0,1.0,0,0.0,0.05127999999999999,0,0,0,0,318988.01,0.0,0,0
2216,1503146,94,0.01064,0.0,1,578650.0,0.0,1.0,1.0,0,0.0,1.0,3,0,0,0,578650.8,635880.0,0,0
866,1400695,420,0.0,0.0,116,83683.0,0.0,1.0,1.0,0,0.0,0.06897,3,13,0,1,14931.0,26625.0,0,1
5712,1594336,34,0.0,0.0,31,1153602.0,0.0,1.0,0.06452000000000001,0,0.0,0.22580999999999998,0,13,0,0,344457.4,345441.0,192021111,0
2047,1389264,37,0.0,0.0,255,196026.0,0.0,1.0,1.0,0,0.0,0.33333,1,0,0,0,189860.0,197600.0,0,1
5121,1397270,396,0.0,0.0,1,134000.0,0.0,1.0,1.0,0,0.0,1.0,1,0,0,0,134000.0,172957.0,0,1
3902,1543199,2256,0.0,0.0,8,184507.0,0.0,1.0,1.0,0,0.0,0.125,3,0,0,0,1041200.0,0.0,0,0
4685,1562528,773,0.0,0.0,87,97697.0,0.0,1.0,0.02299,0,0.0,0.11494000000000001,3,8,0,0,46430.0,46666.0,103219112,0
2495,1512901,190,0.00526,0.0,2,879125.0,0.0,1.0,1.0,0,0.0,0.5,3,13,0,0,1707251.0,2188781.0,0,0
3650,1539174,159,0.0,0.0,1,65811.0,0.0,1.0,1.0,0,0.0,1.0,3,0,0,0,65811.54,0.0,0,0
5117,1569961,72,0.0,0.0,1,106100.0,0.0,1.0,1.0,0,0.0,1.0,1,8,0,0,106100.0,106100.0,11321000,0
5332,1426610,13,0.0,0.0,7,231471.0,0.0,1.0,1.0,0,0.0,0.42857,3,19,0,0,154000.0,0.0,0,1
1718,1490346,1200,0.0,0.0,12,161628.0,0.0,1.0,1.0,0,0.0,0.25,3,0,0,0,26891.5,0.0,0,0
3938,1543902,353,0.0,0.0,45,335537.0,0.0,1.0,0.8222200000000001,0,0.0,0.06667000000000001,0,0,0,0,955981.3,1517481.6,0,0
5502,1584776,353,0.0,0.0,62,237787.0,0.0,0.98387,0.45161,0,0.0,0.19355,3,13,0,0,275492.88,451627.8,105152114,0
101,1390373,1211,0.0,0.0,30,127528.0,0.0,1.0,1.0,0,0.0,0.13333,3,7,0,0,150384.0,0.0,0,1
3803,1438718,642,0.0,0.0,2,1652900.0,0.0,1.0,1.0,0,0.0,0.5,3,13,0,0,2705850.92,2705850.92,0,1
1634,1488369,996,0.0,0.0,1,280000.0,0.0,1.0,1.0,0,0.0,1.0,3,0,0,0,280000.0,400000.0,0,0
3399,1533418,357,0.0,0.0,625,259955.0,0.0,0.9648,0.0048,0,0.0,0.0288,3,0,0,0,317863.05,0.0,212010122,0
5821,1435158,1258,0.0,0.00079,90,132106.0,0.0,1.0,0.9888899999999999,0,0.0,0.02222,3,13,0,0,8760.0,9870.0,0,1
2727,1517719,1771,0.0,0.0,144,194632.0,0.0,1.0,0.92361,0,0.0,0.14583,0,0,0,0,249328.35,347530.15,0,0
3441,1534572,283,0.0035299999999999997,0.0,1,17407746.0,0.0,1.0,1.0,0,0.0,1.0,0,0,0,0,17407746.61,17495222.72,412030000,0
5272,1573186,118,0.0,0.0,8,1382016.0,0.0,1.0,0.5,0,0.0,0.125,3,13,0,0,50132.0,50132.0,532019120,0
5341,1398175,630,0.00317,0.0,1,34950.0,0.0,1.0,1.0,0,0.0,1.0,3,13,0,0,34950.0,39000.0,0,1
574,1440602,54,0.0,0.0,566,481791.0,0.0,1.0,1.0,0,0.0,0.15370999999999999,3,7,0,0,376845.0,376845.0,0,1
4786,1396055,6408,0.0,0.0,1,184000.0,0.0,1.0,1.0,0,0.0,1.0,3,0,0,0,184000.0,0.0,0,1
429,1453927,80,0.0,0.0,2,1443696.0,0.0,1.0,1.0,0,0.0,0.5,3,13,0,1,339210.47,700001.0,0,0
3366,1532667,159,0.0,0.0,6,468756.0,0.0,1.0,0.16667,0,0.0,0.16667,0,0,0,0,97600.0,115696.0,192022000,0
1421,1485577,25,0.0,0.0,72,300692.0,0.0,1.0,1.0,0,0.0,0.125,3,0,0,0,44385.12,69986.0,0,0
3341,1391465,60,0.0,0.0,4,205775.0,0.0,1.0,1.0,0,0.0,0.25,3,13,0,0,387800.0,499000.0,0,1
927,1469814,1101,0.0,0.0,31,964172.0,0.0,1.0,0.87097,0,0.0,0.06452000000000001,3,13,0,0,152838.89,194698.96,0,0
2002,1389627,43,0.0,0.0,255,196026.0,0.0,1.0,1.0,0,0.0,0.32941,1,0,0,0,181560.0,0.0,0,1
4645,1395379,1771,0.0,0.0,1,108000.0,0.0,1.0,1.0,0,0.0,1.0,3,13,0,0,108000.0,110000.0,0,1
764,1463975,5428,0.0,0.0,94,85491.0,0.0,0.98936,0.98936,0,0.0,0.12766,3,0,0,0,52800.0,72856.0,0,0
4646,1395400,119,0.0,0.0,1,483000.0,0.0,1.0,1.0,0,0.0,1.0,3,13,0,0,483000.0,498985.42,0,1
5986,1418006,2110,0.0,0.0,86,130775.0,0.0,1.0,1.0,0,0.0,0.0814,3,13,0,0,33931.71,0.0,0,1
4610,1439090,309,0.0,0.0,11,236873.0,0.0,1.0,1.0,0,0.0,0.18182,3,13,0,0,49950.0,65084.0,0,1
