,train_acc,train_auc,train_ll,test_acc,test_auc,test_ll,valid_acc,valid_auc,valid_ll,time
LogRer 0.001_l1_42_liblinear,0.7458938163093177,0.7457190304877365,0.5326039972974336,0.7458383273405247,0.7456635529981359,0.5328070542176017,0.7466702184336708,0.7473420896044405,0.5309034622583599,1.0
LogRer 0.001_l1_42_saga,0.7459271096905935,0.7457443218737296,0.5326120846016555,0.7459715008656279,0.7457880376064294,0.5328198621136634,0.7474693660095898,0.7481591220336442,0.5309724845262772,2.0
LogRer 0.001_l2_42_liblinear,0.7560667939213684,0.7560003834821951,0.5000220745989409,0.755892928485817,0.755826455846186,0.5003174667206399,0.7542621204049015,0.7544757933560899,0.4972317069280818,2.0
LogRer 0.001_l2_42_saga,0.7636946774981134,0.7635865622375966,0.49139121708250827,0.7636835797043547,0.7635743901037876,0.4916804261298695,0.7607884922749067,0.7611718822746545,0.4893025918708492,2.0
LogRer 0.01_l1_42_liblinear,0.8298227312410292,0.8297916259224101,0.39204989192101664,0.8291716606738581,0.8291397518101644,0.39240894244161373,0.8305807139051679,0.8306571120998018,0.39090542440366627,9.0
LogRer 0.01_l1_42_saga,0.8414865124813187,0.8414984398580869,0.36911088096950745,0.8407577573578373,0.8407711615753418,0.36949034516876383,0.8425679275439532,0.8424974109326775,0.3690155366581698,2.0
LogRer 0.01_l2_42_liblinear,0.801959870377769,0.8019093497046466,0.43481265689580323,0.8015714475962179,0.8015217556118046,0.43525033518636247,0.8020777836973895,0.8022236454522124,0.43283704516471533,3.0
LogRer 0.01_l2_42_saga,0.8161206552137436,0.8160644917351659,0.4130043176795549,0.8152883206818484,0.8152300843880698,0.4134166070758211,0.8164624400639318,0.8166285971570224,0.41202751760964224,1.0
LogRer 0.1_l1_42_liblinear,0.8507050798301298,0.8507448419956702,0.3482172272259316,0.8503795445465442,0.8504203171189086,0.34889648232161263,0.8514917421417155,0.8513039303858845,0.348937071948063,67.0
LogRer 0.1_l1_42_saga,0.8519702283186102,0.8520085797032211,0.34669193019147193,0.8520109202290584,0.8520505152474955,0.34736382570506064,0.851891315929675,0.8517230924365166,0.3479256042987412,9.0
LogRer 0.1_l2_42_liblinear,0.8454521241177254,0.8454910337480881,0.3686037526833341,0.844852843254761,0.8448935569917436,0.36913994718971394,0.8457645178476292,0.8455810128249677,0.3679315666393315,4.0
LogRer 0.1_l2_42_saga,0.8491735842914429,0.8492109161713892,0.356059011866163,0.8488480490078573,0.8488868499511721,0.3565949009519828,0.8489611081513053,0.8487710730775607,0.3564752851379729,7.0
LogRer 1_l1_42_liblinear,0.8528617510838845,0.8528976617678025,0.3458800908398884,0.8526434944732987,0.8526797287212758,0.3466478684337396,0.8524240809802877,0.8522949867480633,0.3476404167596192,326.0
LogRer 1_l1_42_saga,0.8529505334339533,0.8529864209231998,0.3459461184569991,0.8528099613796777,0.8528465232873498,0.346722220604781,0.8529568460309004,0.852831394939509,0.3477237406767486,16.0
LogRer 1_l2_42_liblinear,0.8512192776076116,0.8512603125875791,0.3474575209861712,0.8509455320282328,0.8509870710301789,0.3481321272455053,0.8517581246670218,0.8515881032356528,0.34843862591068187,6.0
LogRer 1_l2_42_saga,0.8523549518355751,0.8523922210240054,0.3462119465307768,0.8521108003728859,0.8521485497585255,0.34689229647015873,0.851891315929675,0.8517514813325975,0.3477756093562191,13.0
LogRer 10_l1_42_liblinear,0.8530282179902635,0.8530643114949675,0.3461901061872882,0.8529431349047809,0.8529786119383568,0.34695442694808876,0.8528236547682472,0.8526893085146248,0.3478711438060859,45.0
LogRer 10_l1_42_saga,0.8531613915153667,0.8531971002007006,0.3460100932662665,0.8528765481422294,0.8529115899502188,0.34687019673002123,0.8528236547682472,0.8526928571266349,0.3478301444313566,15.0
LogRer 10_l2_42_liblinear,0.8529061422589189,0.8529422465339552,0.3459357241040882,0.8526102010920229,0.8526465436147517,0.3467284397812036,0.8528236547682472,0.852696405738645,0.34771952509026555,7.0
LogRer 10_l2_42_saga,0.8531170003403323,0.8531527809725472,0.34591539087318945,0.8526434944732987,0.8526795114629127,0.346666702381037,0.8528236547682472,0.852696405738645,0.3477531371415204,18.0
LogRer 100_l1_42_liblinear,0.8530763084298841,0.8531121731182703,0.34618720261452596,0.8530097216673326,0.8530451994097685,0.34695931611716746,0.8528236547682472,0.8526893085146248,0.3478879413139185,46.0
LogRer 100_l1_42_saga,0.8531872863674701,0.8532228384196539,0.34602014403568654,0.8529098415235051,0.8529452095734693,0.34688580767497135,0.8529568460309004,0.8528242977154887,0.3478377597775993,15.0
LogRer 100_l2_42_liblinear,0.8533056628342286,0.8533408540493358,0.3458241853728129,0.8529764282860567,0.8530117970448811,0.34664340440117664,0.8529568460309004,0.8528242977154887,0.3477591200024225,10.0
LogRer 100_l2_42_saga,0.8532057826904011,0.8532412987297632,0.3459392966338872,0.8528099613796777,0.8528454369955336,0.3467200814682562,0.8528236547682472,0.8526928571266349,0.3478100712657112,12.0
RandForest 3_10_42,0.8442017726875897,0.8441324019227873,0.4151542179225823,0.8437541616726595,0.8436863431610125,0.4164446792199364,0.8416355887053809,0.8419144449516593,0.41588779278066057,1.0
