"cntrID","org_cntr_num","org_1s_sev","org_1s_sup_sev","sup_cntr_num","sup_cntr_avg_price","sup_cntr_avg_penalty","sup_no_pnl_share","sup_okpd_exp","sup_1s_sev","sup_1s_org_sev","sup_sim_price","price_higher_pmp","price_too_low","cntr_result"
1573678,871,0,0,2,189491,0,1,0.5,0,0,0.5,0,0,0
1505114,188,0,0,22,267789,0,1,1,0,0,0.09091,0,0,0
1516375,199,0,0,5,386494,0,1,1,0,0,0.2,0,0,0
1603679,52,0,0,43,272642,0,1,0.18605,0,0,0.04651,0,0,0
1511046,569,0,0,47,487732,0,1,0.61702,0,0,0.02128,0,1,0
1480163,21,0,0,2,115140,0,1,1,0,0,0.5,0,0,0
1577169,61,0.01639,0,1,225488,0,1,1,0,0,1,0,0,0
1473007,185,0,0,1,597465,0,1,2,0,0,1,0,0,0
1500959,303,0.0033,0,108,631993,0,1,0.96296,0,0,0.08333,0,0,0
1564587,1101,0,0,14,1649064,0,1,0.21429,0,0,0.07143,0,0,0
1498785,2643,0,0,27,419685,0,1,1,0,0,0.03704,0,1,0
1516205,283,0.00353,0,3,97810009,0,1,1,0,0,0.33333,0,0,0
1594614,2,0,0,57,135849,0,1,0.01754,0,0,0.05263,0,0,0
1601416,48,0,0,60,174063,0,1,0.03333,0,0.03333,0.11667,0,0,0
1463362,71,0,0,154,147749,0,0.97403,0.97403,0,0,0.08442,0,0,0
1561420,357,0,0,8,328192,0,1,0.625,0,0,0.125,0,0,0
1531271,1694,0.00118,0,3,257500,0,1,0.66667,0,0,0.33333,0,0,0
1458464,21,0,0,2,1276336,0,1,1,0,0,0.5,0,0,0
1484512,1258,0,0.00079,8,307795,0,1,1,0,0,0.25,0,0,0
1479060,561,0,0,123,103592,0,1,1,0,0,0.0813,0,0,0
1489372,1213,0.00082,0,162,220263,0,1,1,0,0,0.16049,1,0,0
1581230,179,0,0,2,536693,0,1,1,0,0,0.5,0,0,0
1546383,3,0,0,18,1115853,0,1,1,0,0,0.05556,0,0,0
1516322,1922,0,0,2,334614,0,1,1,0,0,0.5,0,0,0
1403222,49,0,0,26,174444,0,1,1,0,0,0.30769,0,0,0
1449228,357,0.0028,0,1,1999019,0,1,1,0,0,1,0,0,0
1540085,682,0,0,19,266565,0,1,1,0,0,0.21053,1,0,0
1505057,458,0,0,22,1092236,0,1,0.68182,0,0,0.27273,0,0,0
1582859,27,0,0,18,277622,0,1,0.16667,0,0,0.11111,0,0,0
1570790,93,0,0,53,123848,0,1,0.01887,0,0,0.09434,0,0,0
1560368,1101,0,0,10,1585096,0,1,0.1,0,0,0.2,0,0,0
1518904,871,0,0,286,82589,0,0.98252,0.96503,0,0,0.05594,0,0,0
1485564,25,0,0,39,241214,0,1,1,0,0,0.15385,0,0,0
1469867,30,0,0,52,212898,0,1,1,0,0,0.25,0,0,0
1587843,2110,0,0,2,27240,0,1,0.5,0,0,0.5,0,1,0
1577791,120,0,0,2,132500,0,1,1,0,0,1,0,0,0
1553419,2256,0,0,97,698249,0,1,0.02062,0,0,0.12371,0,0,0
1564027,135,0,0,98,145738,0,1,0.03061,0,0,0.05102,0,0,0
1498484,13,0,0,2,358500,0,1,1,0,0,1,0,0,0
