"cntrID","org_cntr_num","org_1s_sev","org_1s_sup_sev","sup_cntr_num","sup_cntr_avg_price","sup_cntr_avg_penalty","sup_no_pnl_share","sup_okpd_exp","sup_1s_sev","sup_1s_org_sev","sup_sim_price","price_higher_pmp","price_too_low","cntr_result"
1390602,458,0,0,3,168000,0,1,1,0,0,0.33333,0,0,1
1390619,43,0,0,116,83683,0,1,1,0,0,0.2069,0,0,1
1390638,28,0,0,10,190536,0,1,1,0,0,0.1,0,0,1
1390642,143,0,0,1,2400,0,1,1,0,0,1,0,0,1
1390644,43,0,0,116,83683,0,1,1,0,0,0.22414,0,0,1
1390645,363,0,0,26,238842,0,1,1,0,0,0.26923,0,0,1
1390648,2398,0,0,14,253051,0,1,1,0,0,0.21429,0,0,1
1390650,58,0,0,26,90600,0,1,1,0,0,0.07692,0,0,1
1390653,79,0,0,13,16825,0,1,0.92308,0,0,0.07692,0,0,1
1390661,47,0,0,4,103224,0,1,1,0,0,0.5,0,0,1
1390664,57,0,0,116,83683,0,1,1,0,0,0.17241,0,0,1
1390665,24,0,0,116,83683,0,1,1,0,0,0.24138,0,0,1
1390667,77,0,0,99,141240,0,1,1,0,0,0.32323,0,0,1
1390668,201,0,0,6,12161666,0,1,1,0,0,0.33333,0,0,1
1390670,57,0,0,116,83683,0,1,1,0,0,0.22414,0,0,1
1390676,2398,0,0,17,174561,0,1,1,0,0,0.11765,0,0,1
1390682,201,0,0,6,12161666,0,1,1,0,0,0.33333,0,0,1
1390699,27,0,0,4,711892,0,1,1,0,0,0.25,0,0,1
1390704,27,0,0,1,480000,0,1,1,0,0,1,0,0,1
1390713,11,0,0,2,161208,0,1,1,0,0,0.5,0,0,1
1390725,87,0,0,1,37578,0,1,1,0,0,1,0,0,1
1390727,2697,0,0,348,1237047,0,1,1,0,0,0.07471,0,0,1
1390728,203,0,0,1,109340855,0,1,1,0,0,1,0,0,1
1390733,155,0,0,1,125860,0,1,1,0,0,1,0,0,1
1390736,67,0,0,26,90600,0,1,1,0,0,0.23077,0,0,1
1390739,27,0,0,2,191794,0,1,1,0,0,0.5,0,0,1
